,State,R_State,Country
0,New Brunswick, Canada,Canada
1,New Brunswick, Canada,Ireland
2,New Brunswick, Canada,
3,New Brunswick, Canada,Usa
4,North Carolina, United States,Usa
5,North Carolina, United States,
6,North Carolina, United States,Canada
7,North Carolina, United States,United States
8,North Carolina, United States,Germany
9,North Carolina, United States,Taiwan
10,Minnesota, United States,Usa
11,Minnesota, United States,United Kingdom
12,Minnesota, United States,
13,Minnesota, United States,Canada
14,Sachsen-Anhalt, Germany,Germany
15,New York, United States,Usa
16,New York, United States,
17,New York, United States,Richmond Country
18,New York, United States,Onondaga Nation
19,New York, United States,Australia
20,New York, United States,Germany
21,New York, United States,France
22,New York, United States,New York
23,New York, United States,Belgium
24,New York, United States,Portugal
25,Oregon, United States,Usa
26,Oregon, United States,Petrolwar Nation
27,Oregon, United States,Canada
28,Oregon, United States,
29,Oregon, United States,United Kingdom
30,Sevilla, Spain,Spain
31,Sevilla, Spain,Papua New Guinea
32,Sevilla, Spain,Australia
33,Ohio, United States,Usa
34,Ohio, United States,
35,Ohio, United States,United Kingdom
36,Ohio, United States,Germany
37,Ohio, United States,Austria
38,Ohio, United States,Ohio
39,Ohio, United States,South Korea
40,Ohio, United States,New Zealand
41,Ohio, United States,Australia
42,Ohio, United States,Canada
43,Illinois, United States,Usa
44,Illinois, United States,
45,Illinois, United States,Canada
46,Illinois, United States,France
47,Illinois, United States,Australia
48,Illinois, United States,United Kingdom
49,Illinois, United States,United States
50,South Australia, Australia,Australia
51,South Australia, Australia,
52,N/A, Portugal,Spain
53,N/A, Portugal,United Kingdom
54,N/A, Portugal,Sweden
55,N/A, Portugal,France
56,N/A, Portugal,Singapore
57,N/A, Portugal,
58,N/A, Portugal,Switzerland
59,N/A, Portugal,Philippines
60,N/A, Portugal,Germany
61,N/A, Portugal,Denmark
62,N/A, Portugal,Belize
63,N/A, Portugal,Poland
64,N/A, Portugal,Belgium
65,N/A, Portugal,Haiti
66,N/A, Portugal,Portugal
67,N/A, Portugal,Netherlands
68,N/A, Portugal,Bulgaria
69,N/A, Portugal,Luxembourg
70,N/A, Portugal,New Zealand
71,N/A, Portugal,South Africa
72,N/A, Portugal,Czech Republic
73,N/A, Portugal,Israel
74,N/A, Portugal,Malta
75,N/A, Portugal,South Korea
76,N/A, Portugal,Hungary
77,N/A, Portugal,Croatia
78,N/A, Portugal,Taiwan
79,N/A, Portugal,Iceland
80,N/A, Portugal,Turkey
81,N/A, Portugal,Usa
82,N/A, Portugal,Lithuania
83,N/A, Portugal,Finland
84,N/A, Portugal,Ireland
85,N/A, Portugal,Australia
86,N/A, Portugal,Egypt
87,N/A, Portugal,Malaysia
88,N/A, Portugal,Romania
89,N/A, Portugal,Argentina
90,N/A, Portugal,Kazakhstan
91,N/A, Portugal,Italy
92,N/A, Portugal,Sri Lanka
93,N/A, Portugal,Slovenia
94,N/A, Portugal,Iran
95,N/A, Portugal,Slovakia
96,N/A, Portugal,Greece
97,N/A, Portugal,Austria
98,N/A, Portugal,Bolivia
99,N/A, Portugal,India
100,N/A, Portugal,Canada
101,N/A, Portugal,Grenada
102,N/A, Portugal,Tunisia
103,N/A, Portugal,United Arab Emirates
104,N/A, Portugal,Norway
105,N/A, Portugal,N/A
106,N/A, Portugal,China
107,N/A, Portugal,Russia
108,N/A, Portugal,Andorra
109,N/A, Portugal,Indonesia
110,N/A, Portugal,U.A.E
111,N/A, Portugal,Monaco
112,N/A, Portugal,Hong Kong
113,N/A, Portugal,Jamaica
114,N/A, Portugal,Jersey
115,N/A, Portugal,Mongolia
116,N/A, Portugal,Ghana
117,N/A, Portugal,Cyprus
118,N/A, Portugal,Estonia
119,N/A, Portugal,Nepal
120,N/A, Portugal,Laos
121,N/A, Portugal,Saint Lucia
122,N/A, Portugal,Kenya
123,N/A, Portugal,Trinidad And Tobago
124,N/A, Portugal,Yugoslavia
125,N/A, Portugal,Colombia
126,N/A, Portugal,Brazil
127,N/A, Portugal,Aruba
128,N/A, Portugal,Saudi Arabia
129,N/A, Portugal,Mexico
130,N/A, Portugal,Dominican Republic
131,N/A, Portugal,Uruguay
132,N/A, Portugal,Pakistan
133,N/A, Portugal,Costa Rica
134,N/A, Portugal,Georgia
135,N/A, Portugal,Latvia
136,N/A, Portugal,Bangladesh
137,N/A, Portugal,Fiji
138,N/A, Portugal,Thailand
139,N/A, Portugal,Zimbabwe
140,N/A, Portugal,Japan
141,N/A, Portugal,Chile
142,N/A, Portugal,Macau
143,N/A, Portugal,Barbados
144,N/A, Portugal,Benin
145,N/A, Portugal,Rwanda
146,N/A, Portugal,Qatar
147,N/A, Portugal,Cuba
148,N/A, Portugal,Brunei
149,N/A, Portugal,Solomon Islands
150,N/A, Portugal,Iraq
151,N/A, Portugal,Lebanon
152,N/A, Portugal,Kuwait
153,N/A, Portugal,Nigeria
154,N/A, Portugal,Scotland
155,N/A, Portugal,Albania
156,N/A, Portugal,Bermuda
157,N/A, Portugal,Oman
158,N/A, Portugal,Everywhere And Anywhere
159,N/A, Portugal,Uganda
160,N/A, Portugal,Guatemala
161,N/A, Portugal,Ecuador
162,N/A, Portugal,La France
163,Hessen, Germany,Germany
164,Hessen, Germany,
165,Hessen, Germany,Guinea-Bissau
166,Manitoba, Canada,Canada
167,Manitoba, Canada,
168,Manitoba, Canada,Singapore
169,Oxfordshire, United Kingdom,United Kingdom
170,Michigan, United States,Usa
171,Michigan, United States,Italy
172,Michigan, United States,
173,Michigan, United States,Japan
174,Michigan, United States,United Kingdom
175,Michigan, United States,Michigan
176,Baden-Wuerttemberg, Germany,Germany
177,Baden-Wuerttemberg, Germany,Argentina
178,Baden-Wuerttemberg, Germany,Spain
179,Baden-Wuerttemberg, Germany,
180,California, United States,Usa
181,California, United States,Tanzania
182,California, United States,
183,California, United States,New Zealand
184,California, United States,United Kingdom
185,California, United States,U.S.A.
186,California, United States,Austria
187,California, United States,Ventura County
188,California, United States,Kern
189,California, United States,United States
190,California, United States,San Mateo
191,California, United States,Zimbabwe
192,California, United States,Canada
193,California, United States,Antigua And Barbuda
194,California, United States,Oman
195,California, United States,France
196,California, United States,El Salvador
197,California, United States,California
198,California, United States,Australia
199,California, United States,Italy
200,California, United States,Afghanistan
201,Washington, United States,Usa
202,Washington, United States,
203,Washington, United States,United Kingdom
204,Washington, United States,Alderney
205,Washington, United States,Canada
206,Washington, United States,United State
207,Washington, United States,Uzbekistan
208,Washington, United States,Australia
209,Bayern, Germany,Germany
210,Bayern, Germany,Ghana
211,Bayern, Germany,
212,Bayern, Germany,Benin
213,Bayern, Germany,United Kingdom
214,Bayern, Germany,France
215,Bayern, Germany,Belgium
216,Bayern, Germany,Switzerland
217,Idaho, United States,Usa
218,Idaho, United States,
219,Idaho, United States,United Kingdom
220,Idaho, United States,Switzerland
221,Idaho, United States,Idaho
222,South Carolina, United States,Usa
223,South Carolina, United States,United Kingdom
224,South Carolina, United States,Australia
225,South Carolina, United States,Netherlands
226,South Carolina, United States,
227,Pennsylvania, United States,Usa
228,Pennsylvania, United States,
229,Pennsylvania, United States,Malaysia
230,Pennsylvania, United States,Spain
231,Pennsylvania, United States,Philippines
232,Pennsylvania, United States,Portugal
233,Pennsylvania, United States,Uzbekistan
234,Maryland, United States,Usa
235,Maryland, United States,
236,Maryland, United States,Maryland
237,Maryland, United States,Spain
238,Maryland, United States,Los Estados Unidos De Norte America
239,Maryland, United States,Morocco
240,Maryland, United States,Ireland
241,Queensland, Australia,Australia
242,Queensland, Australia,Canada
243,Queensland, Australia,France
244,Queensland, Australia,
245,British Columbia, Canada,Canada
246,British Columbia, Canada,
247,British Columbia, Canada,United Kingdom
248,British Columbia, Canada,Australia
249,British Columbia, Canada,Cayman Islands
250,Kansas, United States,Usa
251,Kansas, United States,
252,Kansas, United States,Canada
253,,no_info,
254,,no_info,Italy
255,,no_info,Canada
256,,no_info,Usa
257,,no_info,Spain
258,,no_info,Austria
259,,no_info,France
260,,no_info,Germany
261,,no_info,New Zealand
262,,no_info,Netherlands
263,,no_info,British Columbia
264,,no_info,Missouri
265,,no_info,United Kingdom
266,,no_info,Florida
267,,no_info,Victoria
268,,no_info,North Carolina
269,,no_info,New Mexico
270,,no_info,Jersey
271,,no_info,Ontario
272,,no_info,Mexico
273,,no_info,California
274,,no_info,Australia
275,,no_info,Washington
276,,no_info,Maine
277,,no_info,South Dakota
278,,no_info,Ohio
279,,no_info,Hawaii
280,,no_info,Michigan
281,,no_info,Massachusetts
282,,no_info,Oregon
283,,no_info,Connecticut
284,,no_info,Virginia
285,,no_info,Texas
286,,no_info,Denmark
287,,no_info,Malaysia
288,,no_info,England
289,,no_info,Alberta
290,,no_info,Estonia
291,,no_info,D.C.
292,,no_info,Peru
293,,no_info,Sweden
294,,no_info,Illinois
295,,no_info,Dc
296,,no_info,Puerto Rico
297,,no_info,Belgium
298,,no_info,Wisconsin
299,,no_info,Switzerland
300,,no_info,North Dakota
301,,no_info,New York
302,,no_info,Luxembourg
303,,no_info,Russia
304,,no_info,Quebec
305,,no_info,Metro Manila
306,,no_info,Croatia
307,,no_info,Rhode Island
308,,no_info,Saskatchewan
309,,no_info,Greece
310,,no_info,Arizona
311,,no_info,Philippines
312,,no_info,Maryland
313,,no_info,N/A - On The Road
314,,no_info,Singapore
